nbeval fitness
10 26540
10 26707
10 26821
10 26562
10 26946
10 26511
10 26661
10 26864
10 26391
10 26537
10 27577
10 26575
10 26397
10 26623
10 26956
10 27065
10 27164
10 26368
10 26688
10 26741
10 26618
10 27926
10 26652
10 27162
10 27775
10 26603
10 25953
10 27117
10 26289
10 26738
10 27446
10 26703
10 28490
10 26327
10 26175
10 28333
10 27903
10 27200
10 27149
10 27666
10 26610
10 26608
10 26950
10 26248
10 25834
10 26989
10 26894
10 26247
10 27764
10 27618
10 26782
10 25769
10 26996
10 26769
10 26882
10 26685
10 27272
10 26652
10 27290
10 26723
10 26618
10 26624
10 27454
10 26398
10 26160
10 26958
10 27374
10 26512
10 26126
10 26660
10 26314
10 26412
10 26570
10 26310
10 27647
10 25954
10 26877
10 26940
10 26303
10 26667
10 26544
10 27380
10 26187
10 26441
10 26852
10 26592
10 26532
10 26625
10 26338
10 25721
10 27407
10 26597
10 26948
10 26459
10 27528
10 27292
10 26981
10 26840
10 26814
10 26601
50 27508
50 27181
50 26821
50 27316
50 26946
50 27254
50 27062
50 27460
50 27462
50 26703
50 27577
50 27122
50 26771
50 27767
50 27365
50 27065
50 27256
50 27505
50 27326
50 27417
50 27335
50 27926
50 26988
50 28057
50 27810
50 27737
50 27373
50 27460
50 28074
50 27635
50 27446
50 27452
50 28490
50 27179
50 27907
50 28333
50 27903
50 27413
50 27186
50 27666
50 27291
50 27013
50 26950
50 26412
50 27570
50 28143
50 27647
50 27163
50 27764
50 27618
50 27421
50 27218
50 28060
50 27422
50 27379
50 27772
50 27539
50 27031
50 27513
50 28046
50 27156
50 27675
50 27454
50 26995
50 28000
50 28013
50 27374
50 26617
50 27915
50 27256
50 27100
50 27618
50 26758
50 28125
50 27647
50 27616
50 26877
50 27773
50 26914
50 27619
50 26941
50 27939
50 27242
50 27021
50 27429
50 26773
50 27296
50 27182
50 26968
50 27356
50 27407
50 28461
50 28101
50 27846
50 28058
50 27696
50 27918
50 27024
50 27523
50 27553
100 27508
100 27181
100 27213
100 27644
100 27610
100 27254
100 27364
100 27460
100 27764
100 28510
100 27577
100 28229
100 28448
100 27767
100 27365
100 27833
100 27610
100 28411
100 27784
100 27417
100 28268
100 27926
100 27034
100 28057
100 27927
100 27737
100 27373
100 27460
100 28074
100 27635
100 27446
100 27452
100 28490
100 27377
100 27907
100 28333
100 27903
100 27413
100 27186
100 27666
100 27742
100 27523
100 26950
100 27167
100 27570
100 28143
100 27647
100 27646
100 27764
100 27618
100 27660
100 27746
100 28060
100 27422
100 27379
100 27772
100 27664
100 27736
100 27513
100 28046
100 27686
100 27675
100 27672
100 27414
100 28000
100 28013
100 27374
100 27420
100 27915
100 27849
100 27100
100 27618
100 27712
100 28125
100 27647
100 27697
100 27114
100 27773
100 27089
100 27619
100 27762
100 27939
100 27554
100 27382
100 27429
100 28061
100 27314
100 27182
100 26968
100 27603
100 27407
100 28461
100 28101
100 27846
100 28058
100 27696
100 27918
100 27511
100 27608
100 27553
500 27916
500 28132
500 27615
500 28596
500 28126
500 28051
500 27790
500 27642
500 27934
500 28510
500 28366
500 28567
500 28448
500 28360
