nbEval fitness
10 26790
10 27359
10 26242
10 26365
10 26663
10 26798
10 27209
10 26672
10 26047
10 27302
10 27390
10 27020
10 27247
10 26952
10 26650
10 26489
10 26384
10 25982
10 26301
10 26528
10 26555
10 26379
10 26669
10 26402
10 28263
10 26291
10 26928
10 27109
10 27105
10 26480
10 28211
10 28166
10 26585
10 27424
10 26246
10 27041
10 26892
10 26975
10 26613
10 26411
10 27252
10 26713
10 26573
10 25987
10 27129
10 25798
10 26945
10 27469
10 26346
10 26906
10 26681
10 26679
10 27263
10 25682
10 26708
10 27743
10 26988
10 26776
10 26274
10 26775
10 27640
10 26598
10 26865
10 27104
10 26857
10 27040
10 27684
10 26904
10 27264
10 27276
10 27690
10 27347
10 26470
10 26255
10 26643
10 26230
10 27352
10 27144
10 26011
10 27650
10 26551
10 27226
10 26203
10 26890
10 27392
10 26706
10 26288
10 26666
10 26954
10 26788
10 26034
10 25859
10 26924
10 27985
10 26701
10 26348
10 26816
10 26711
10 27060
10 27670
100 27401
100 27618
100 27233
100 27847
100 27756
100 27983
100 28385
100 28027
100 27072
100 27825
100 27838
100 27695
100 27842
100 27289
100 27708
100 27350
100 27374
100 27185
100 27359
100 27664
100 27893
100 28492
100 26932
100 27896
100 28104
100 27876
100 28039
100 27353
100 27523
100 27784
100 27489
100 27406
100 26953
100 27053
100 27850
100 27435
100 27543
100 27587
100 28025
100 27478
100 27531
100 27513
100 27840
100 27656
100 27430
100 27392
100 27827
100 28057
100 27609
100 28625
100 27266
100 26993
100 28621
100 27267
100 27166
100 28793
100 27268
100 27563
100 27287
100 27730
100 27402
100 27192
100 27731
100 28317
100 27972
100 27547
100 27731
100 27561
100 27244
100 27519
100 28082
100 27202
100 27206
100 27892
100 30044
100 27358
100 27685
100 28162
100 27620
100 27678
100 27798
100 27482
100 27439
100 27957
100 28253
100 28447
100 28144
100 27563
100 27469
100 27436
100 27310
100 27610
100 27174
100 27106
100 27944
100 26975
100 27461
100 27424
100 27608
100 27343
500 27817
500 28327
500 27515
500 28163
500 28376
500 28450
500 28401
500 28131
500 27615
500 27892
500 28387
500 27877
500 28170
500 28241
500 28077
500 27950
500 29060
500 28294
500 27997
500 28288
500 27832
500 27979
500 28176
500 27845
500 27709
500 28238
500 28154
500 28228
500 28395
500 28454
500 27981
500 27623
500 27486
500 27482
500 28592
500 28299
500 27764
500 28792
500 27601
500 27889
500 28132
500 28116
500 28334
500 28030
500 28134
500 27811
500 27958
500 27939
500 27834
500 27806
500 28190
500 28119
500 28076
500 27996
500 28146
500 28105
500 28232
500 28005
500 28419
500 28136
500 27968
500 28006
500 27694
500 27845
500 28160
500 28111
500 28193
500 28079
500 28049
500 28195
500 28151
500 27683
500 28772
500 28286
500 27827
500 28208
500 28026
500 28414
500 27812
500 28595
500 28789
500 28026
500 29141
500 27792
500 28461
500 28047
500 28350
500 27985
500 27967
500 27975
500 27716
500 27966
500 27849
500 28061
500 28497
500 28020
500 28126
500 27752
500 28139
500 27862
1000 28211
1000 28119
1000 28146
1000 28699
1000 27811
1000 28209
1000 28103
1000 28323
1000 28277
1000 27902
1000 28398
1000 28881
1000 28798
1000 28130
1000 28035
1000 28012
1000 27971
1000 28976
1000 28235
1000 28167
1000 28288
1000 28226
1000 28151
1000 28959
1000 27679
1000 28785
1000 27913
1000 28041
1000 28572
1000 27927
1000 28187
1000 28055
1000 28344
1000 28833
1000 28723
1000 27885
1000 29016
1000 28158
1000 28426
1000 28994
1000 28077
1000 28032
1000 28286
1000 27969
1000 28818
1000 28293
1000 28503
1000 28421
1000 28622
1000 28567
1000 29157
1000 28180
1000 28251
1000 28113
1000 28262
1000 28231
1000 28440
1000 28304
1000 28408
1000 28390
1000 28508
1000 28187
1000 28069
1000 28070
1000 28363
1000 28182
1000 28853
1000 28627
1000 28487
1000 28456
1000 28592
1000 28367
1000 28158
1000 27981
1000 28278
1000 28342
1000 27963
1000 29153
1000 28419
1000 28415
1000 28345
1000 28170
1000 28312
1000 28177
1000 27759
1000 28462
1000 28107
1000 28311
1000 28197
1000 28116
1000 28164
1000 28416
1000 28129
1000 28869
1000 27889
1000 28711
1000 28653
1000 28502
1000 28029
1000 28300
